Threshold,Precision,Recall
9.316205978393555e-05,0.0909157320857048,1.0
9.387731552124023e-05,0.09091639518737793,1.0
0.00011324882507324219,0.09091705828905106,1.0
0.00013446807861328125,0.09091772139072418,1.0
0.00019407272338867188,0.09091838449239731,1.0
0.0002033710479736328,0.09091971069574356,1.0
0.00021314620971679688,0.09092037379741669,1.0
0.00022172927856445312,0.09092104434967041,1.0
0.0002434253692626953,0.09092170745134354,1.0
0.00027370452880859375,0.09092237055301666,1.0
0.0002779960632324219,0.09092303365468979,1.0
0.00028252601623535156,0.09092435985803604,1.0
0.0002846717834472656,0.09092502295970917,1.0
0.0002868175506591797,0.0909256860613823,1.0
0.0003199577331542969,0.09092635661363602,1.0
0.0003407001495361328,0.09092701971530914,1.0
0.0003459453582763672,0.09092768281698227,1.0
0.0003542900085449219,0.0909283459186554,1.0
0.0003669261932373047,0.09092900902032852,1.0
0.0003726482391357422,0.09092967212200165,1.0
0.0003981590270996094,0.09093033522367477,1.0
0.0003998279571533203,0.0909309983253479,1.0
0.0004029273986816406,0.09093166887760162,1.0
0.0004076957702636719,0.09093233197927475,1.0
0.0004093647003173828,0.09093299508094788,1.0
0.0004239082336425781,0.09093432128429413,1.0
0.00042724609375,0.09093498438596725,1.0
0.00044417381286621094,0.09093564748764038,1.0
0.00046372413635253906,0.0909363180398941,1.0
0.00046563148498535156,0.09093698114156723,1.0
0.00047659873962402344,0.09093764424324036,1.0
0.0005154609680175781,0.09093830734491348,1.0
0.0005235671997070312,0.09093963354825974,1.0
0.0005335807800292969,0.09094096720218658,1.0
0.000537872314453125,0.09094229340553284,1.0
0.0005464553833007812,0.09094295650720596,1.0
0.0005550384521484375,0.09094429016113281,1.0
0.0005636215209960938,0.09094495326280594,1.0
0.0005726814270019531,0.09094561636447906,1.0
0.0005860328674316406,0.09094627946615219,1.0
0.0005884170532226562,0.09094694256782532,1.0
0.0005908012390136719,0.09094760566949844,1.0
0.0005955696105957031,0.09094893932342529,1.0
0.0006022453308105469,0.09094960242509842,1.0
0.0006046295166015625,0.09095026552677155,1.0
0.0006093978881835938,0.09095092862844467,1.0
0.0006289482116699219,0.0909515917301178,1.0
0.0006461143493652344,0.09095226228237152,1.0
0.0006537437438964844,0.09095292538404465,1.0
0.0006589889526367188,0.0909542515873909,1.0
0.0006613731384277344,0.09095491468906403,1.0
0.0006747245788574219,0.09095558524131775,1.0
0.0006799697875976562,0.09095624834299088,1.0
0.0006823539733886719,0.090956911444664,1.0
0.0006852149963378906,0.09095757454633713,1.0
0.0006880760192871094,0.09095890074968338,1.0
0.0006985664367675781,0.09096023440361023,1.0
0.00070953369140625,0.09096089750528336,1.0
0.0007152557373046875,0.09096156060695648,1.0
0.000720977783203125,0.09096222370862961,1.0
0.0007266998291015625,0.09096289426088333,1.0
0.0007295608520507812,0.09096554666757584,1.0
0.0007467269897460938,0.09096621721982956,1.0
0.00075531005859375,0.09096688032150269,1.0
0.0007581710815429688,0.09096754342317581,1.0
0.0007672309875488281,0.09096820652484894,1.0
0.0007791519165039062,0.09096886962652206,1.0
0.0007853507995605469,0.09096954017877579,1.0
0.0007977485656738281,0.09097020328044891,1.0
0.0008039474487304688,0.09097152948379517,1.0
0.0008106231689453125,0.09097220003604889,1.0
0.000820159912109375,0.09097286313772202,1.0
0.0008230209350585938,0.09097418934106827,1.0
0.0008330345153808594,0.09097552299499512,1.0
0.0008492469787597656,0.09097618609666824,1.0
0.000865936279296875,0.09097684919834137,1.0
0.0008692741394042969,0.0909775123000145,1.0
0.0008831024169921875,0.09097818285226822,1.0
0.0008864402770996094,0.09097884595394135,1.0
0.0008897781372070312,0.09098084270954132,1.0
0.0008969306945800781,0.0909828320145607,1.0
0.0009002685546875,0.09098349511623383,1.0
0.0009074211120605469,0.0909854918718338,1.0
0.0009183883666992188,0.09098682552576065,1.0
0.0009255409240722656,0.09098748862743378,1.0
0.0009326934814453125,0.09098881483078003,1.0
0.0009365081787109375,0.09098948538303375,1.0
0.0009436607360839844,0.09099014848470688,1.0
0.0009508132934570312,0.09099147468805313,1.0
0.0009584426879882812,0.0909934714436531,1.0
0.0009622573852539062,0.09099480509757996,1.0
0.0009737014770507812,0.09099680185317993,1.0
0.0009813308715820312,0.09099746495485306,1.0
0.0009889602661132812,0.09099812805652618,1.0
0.0010004043579101562,0.09099879115819931,1.0
0.0010042190551757812,0.09099946171045303,1.0
0.0010204315185546875,0.09100012481212616,1.0
0.0010280609130859375,0.09100145101547241,1.0
0.0010318756103515625,0.09100212156772614,1.0
0.0010404586791992188,0.09100278466939926,1.0
0.0010442733764648438,0.09100344777107239,1.0
0.0010480880737304688,0.09100411832332611,1.0
0.0010528564453125,0.09100544452667236,1.0
0.0010776519775390625,0.09100610762834549,1.0
0.0010900497436523438,0.09100677818059921,1.0
0.001094818115234375,0.09100744128227234,1.0
0.0010986328125,0.09100810438394547,1.0
0.0011034011840820312,0.09100877493619919,1.0
0.0011072158813476562,0.09100943803787231,1.0
0.0011119842529296875,0.09101076424121857,1.0
0.001129150390625,0.09101143479347229,1.0
0.0011339187622070312,0.09101276099681854,1.0
0.0011472702026367188,0.09101475775241852,1.0
0.0011510848999023438,0.09101609140634537,1.0
0.001155853271484375,0.0910167545080185,1.0
0.0011606216430664062,0.09101808816194534,1.0
0.0011653900146484375,0.09101875126361847,1.0
0.0011692047119140625,0.09102074801921844,1.0
0.0011739730834960938,0.0910220816731453,1.0
0.0011882781982421875,0.09102274477481842,1.0
0.0011920928955078125,0.09102340787649155,1.0
