Threshold,FPR,TPR
1.0,0.0,0.0
1.0,7.229496259242296e-05,0.00417670700699091
0.99951171875,8.836050983518362e-05,0.0073895580135285854
0.9990234375,0.00015262269880622625,0.009156626649200916
0.99853515625,0.00018475379329174757,0.010522088035941124
0.998046875,0.00022491766139864922,0.012690762989223003
0.99755859375,0.00025704875588417053,0.014136546291410923
0.9970703125,0.0002972126239910722,0.01582329347729683
0.99658203125,0.00039360590744763613,0.01807228848338127
0.99609375,0.0004337697755545378,0.019678715616464615
0.99560546875,0.00044983532279729843,0.02160642482340336
0.9951171875,0.0004980319645255804,0.023453814908862114
0.99462890625,0.000538195832632482,0.02497991919517517
0.994140625,0.0005703269271180034,0.026506023481488228
0.99365234375,0.000586392474360764,0.027630522847175598
0.9931640625,0.0006185235688462853,0.028273092582821846
0.99267578125,0.0006908185314387083,0.029718875885009766
0.9921875,0.0007390151731669903,0.03100401535630226
0.99169921875,0.0008032773621380329,0.03253012150526047
0.9912109375,0.0008595067774876952,0.0338955819606781
0.99072265625,0.0009478672873228788,0.03502007946372032
0.990234375,0.0009799983818084002,0.03638554364442825
0.98974609375,0.0010442605707794428,0.037510041147470474
0.9892578125,0.001100489986129105,0.038072288036346436
0.98876953125,0.0011567194014787674,0.03887550160288811
0.98828125,0.0012531126849353313,0.0401606410741806
0.98779296875,0.0012772110057994723,0.04112449660897255
0.9873046875,0.001317374873906374,0.04224899783730507
0.98681640625,0.001365571515634656,0.04329317435622215
0.986328125,0.0014218009309843183,0.04401606321334839
0.98583984375,0.0014860631199553609,0.044979918748140335
0.9853515625,0.0015181942144408822,0.046104416251182556
0.98486328125,0.0015824564034119248,0.04714859277009964
0.984375,0.0016145874978974462,0.048192769289016724
0.98388671875,0.0016547513660043478,0.048674698919057846
0.9833984375,0.0017029480077326298,0.04915662482380867
0.98291015625,0.001735079102218151,0.04963855445384979
0.982421875,0.0017913085175678134,0.05108433589339256
0.98193359375,0.0018475379329174757,0.05261044204235077
0.9814453125,0.001927865669131279,0.05373493954539299
0.98095703125,0.0020001607481390238,0.05485943704843521
0.98046875,0.002072455594316125,0.05550200864672661
0.97998046875,0.002168848877772689,0.05694779008626938
0.9794921875,0.002273275051265955,0.0580722875893116
0.97900390625,0.0023616354446858168,0.05895582213997841
0.978515625,0.002449996070936322,0.05951807275414467
0.97802734375,0.002498192712664604,0.060160644352436066
0.9775390625,0.0025222909171134233,0.061124496161937714
0.97705078125,0.0026267170906066895,0.061606425791978836
0.9765625,0.0027070448268204927,0.06224899739027023
0.97607421875,0.0027713070157915354,0.06313253194093704
0.9755859375,0.002827536314725876,0.06401606649160385
0.97509765625,0.0028917985036969185,0.06506024301052094
0.974609375,0.0029962246771901846,0.0656224936246872
0.97412109375,0.0030604868661612272,0.0671485960483551
0.9736328125,0.003108683507889509,0.06811244785785675
0.97314453125,0.0031890112441033125,0.06891566514968872
0.97265625,0.003269338980317116,0.06979919970035553
0.97216796875,0.0033175356220453978,0.07036144286394119
0.9716796875,0.003389830468222499,0.07140561938285828
0.97119140625,0.0034781910944730043,0.07269076257944107
0.970703125,0.003542453283444047,0.07373493909835815
0.97021484375,0.0036308136768639088,0.0746987983584404
0.9697265625,0.0037432725075632334,0.07558233290910721
0.96923828125,0.003783436492085457,0.07654618471860886
0.96875,0.00386376422829926,0.07759036123752594
0.96826171875,0.003911960870027542,0.07847389578819275
0.9677734375,0.003944091964513063,0.07967871427536011
0.96728515625,0.004008354153484106,0.0803212821483612
0.966796875,0.004080648999661207,0.0809638574719429
0.96630859375,0.004152943845838308,0.08184739202260971
0.9658203125,0.004281468223780394,0.0828915685415268
0.96533203125,0.0043778615072369576,0.08417670428752899
0.96484375,0.004442123696208,0.08465863764286041
0.96435546875,0.004562615416944027,0.0857028141617775
0.9638671875,0.004634910263121128,0.0865863487124443
0.96337890625,0.004731303546577692,0.08746987581253052
0.962890625,0.0048196641728281975,0.08835341036319733
0.96240234375,0.00492409011349082,0.08899598568677902
0.9619140625,0.005044581834226847,0.08947791159152985
0.96142578125,0.005092778708785772,0.09012047946453094
0.9609375,0.005157040897756815,0.09116465598344803
0.96044921875,0.005237368401139975,0.09196787327528
0.9599609375,0.005277532152831554,0.0926104411482811
0.95947265625,0.005381958559155464,0.09341365098953247
0.958984375,0.005446220748126507,0.09437751024961472
0.95849609375,0.005590810440480709,0.09518072009086609
0.9580078125,0.005719334818422794,0.09574297070503235
0.95751953125,0.0058076954446733,0.09654618799686432
0.95703125,0.005888022948056459,0.09742972254753113
0.95654296875,0.0059442524798214436,0.0982329323887825
0.9560546875,0.006008514668792486,0.09911646693944931
0.95556640625,0.006112940609455109,0.09975903481245041
0.955078125,0.006217367015779018,0.10048192739486694
0.95458984375,0.006273596081882715,0.1010441780090332
0.9541015625,0.006369989365339279,0.10176707059144974
0.95361328125,0.006450317334383726,0.1023293137550354
0.953125,0.006562775932252407,0.10313253104686737
0.95263671875,0.006675234995782375,0.10353413969278336
0.9521484375,0.006755562499165535,0.1042570248246193
0.95166015625,0.006859988905489445,0.10530120134353638
0.951171875,0.0069965459406375885,0.10610441863536835
0.95068359375,0.007084906566888094,0.10698795318603516
0.9501953125,0.007253594696521759,0.10755020380020142
0.94970703125,0.0073580206371843815,0.10827308893203735
0.94921875,0.007478512357920408,0.10915662348270416
0.94873046875,0.007574905641376972,0.11028112471103668
0.9482421875,0.007687364239245653,0.11092369258403778
0.94775390625,0.007783757522702217,0.11188755184412003
0.947265625,0.00784801971167326,0.11261044442653656
0.94677734375,0.007984576746821404,0.11317268759012222
