Threshold,Precision,Recall
4.00543212890625e-05,0.5000401735305786,1.0
4.57763671875e-05,0.5000602602958679,1.0
7.31348991394043e-05,0.5000803470611572,1.0
8.094310760498047e-05,0.5001004338264465,1.0
9.316205978393555e-05,0.5001205205917358,1.0
0.0001323223114013672,0.5001406073570251,1.0
0.00013875961303710938,0.5001606941223145,1.0
0.0001442432403564453,0.5001807808876038,1.0
0.00015234947204589844,0.5002008676528931,1.0
0.00015723705291748047,0.5002209544181824,1.0
0.0002002716064453125,0.5002410411834717,1.0
0.00021147727966308594,0.5002611875534058,1.0
0.00021660327911376953,0.5002812743186951,1.0
0.00022518634796142578,0.5003013610839844,1.0
0.0002491474151611328,0.5003214478492737,1.0
0.0002613067626953125,0.5003415942192078,1.0
0.000263214111328125,0.5003616809844971,1.0
0.00027370452880859375,0.5003817677497864,1.0
0.000293731689453125,0.5004019141197205,1.0
0.00029587745666503906,0.5004220008850098,1.0
0.0003006458282470703,0.5004421472549438,1.0
0.00030541419982910156,0.5004622340202332,1.0
0.0003101825714111328,0.5004823803901672,1.0
0.00031495094299316406,0.5005024671554565,1.0
0.0003275871276855469,0.5005427002906799,1.0
0.00033545494079589844,0.500562846660614,1.0
0.00034332275390625,0.5005829334259033,1.0
0.0003459453582763672,0.5006030797958374,1.0
0.00037550926208496094,0.5006433725357056,1.0
0.00038909912109375,0.5006634593009949,1.0
0.00040459632873535156,0.500683605670929,1.0
0.00041413307189941406,0.500703752040863,1.0
0.0004458427429199219,0.5007238984107971,1.0
0.0004673004150390625,0.5007440447807312,1.0
0.00047659873962402344,0.5007641315460205,1.0
0.0004839897155761719,0.5007842779159546,1.0
0.0004858970642089844,0.5008044242858887,1.0
0.0004935264587402344,0.5008245706558228,1.0
0.0005011558532714844,0.5008447170257568,1.0
0.0005130767822265625,0.5008648633956909,1.0
0.0005235671997070312,0.5008447766304016,0.9999197125434875
0.0005931854248046875,0.5008649230003357,0.9999197125434875
0.0005955696105957031,0.5008850693702698,0.9999197125434875
0.0006189346313476562,0.5009052753448486,0.9999197125434875
0.0006461143493652344,0.5009254217147827,0.9999197125434875
0.0006537437438964844,0.5009455680847168,0.9999197125434875
0.0006613731384277344,0.5009657144546509,0.9999197125434875
0.0007066726684570312,0.500985860824585,0.9999197125434875
0.0007123947143554688,0.501006007194519,0.9999197125434875
0.000720977783203125,0.5010262131690979,0.9999197125434875
0.0007524490356445312,0.501046359539032,0.9999197125434875
0.0007762908935546875,0.5010665059089661,0.9999197125434875
0.0007791519165039062,0.5010867118835449,0.9999197125434875
0.0007853507995605469,0.501106858253479,0.9999197125434875
0.0007948875427246094,0.5011472105979919,0.9999197125434875
0.0008072853088378906,0.501167356967926,0.9999197125434875
0.0008168220520019531,0.5011875629425049,0.9999197125434875
0.000820159912109375,0.501207709312439,0.9999197125434875
0.0008492469787597656,0.5011876225471497,0.9998393654823303
0.0008559226989746094,0.5012078285217285,0.9998393654823303
0.0008797645568847656,0.5012280344963074,0.9998393654823303
0.0008831024169921875,0.5012481808662415,0.9998393654823303
0.0008935928344726562,0.5012683868408203,0.9998393654823303
0.0009002685546875,0.5012885332107544,0.9998393654823303
0.0009217262268066406,0.5013087391853333,0.9998393654823303
0.0009398460388183594,0.5013490915298462,0.9998393654823303
0.0009584426879882812,0.501369297504425,0.9998393654823303
0.0009813308715820312,0.5013895034790039,0.9998393654823303
0.0009889602661132812,0.5014097094535828,0.9998393654823303
0.0009927749633789062,0.5014299154281616,0.9998393654823303
0.0009965896606445312,0.5014501214027405,0.9998393654823303
0.0010118484497070312,0.5014702677726746,0.9998393654823303
0.0010204315185546875,0.5014904737472534,0.9998393654823303
0.0010404586791992188,0.5015106797218323,0.9998393654823303
0.0010652542114257812,0.5015308856964111,0.9998393654823303
0.0011119842529296875,0.50155109167099,0.9998393654823303
0.0011157989501953125,0.5015712976455688,0.9998393654823303
0.0011377334594726562,0.5015915036201477,0.9998393654823303
0.0011472702026367188,0.5016117095947266,0.9998393654823303
0.0011510848999023438,0.5016319751739502,0.9998393654823303
0.0011653900146484375,0.501652181148529,0.9998393654823303
0.001178741455078125,0.5016723871231079,0.9998393654823303
0.0011920928955078125,0.5016925930976868,0.9998393654823303
0.0012111663818359375,0.5017127990722656,0.9998393654823303
0.0012645721435546875,0.5017330050468445,0.9998393654823303
0.00131988525390625,0.5017532706260681,0.9998393654823303
0.00133514404296875,0.501773476600647,0.9998393654823303
0.0013561248779296875,0.5017936825752258,0.9998393654823303
0.0014495849609375,0.5018139481544495,0.9998393654823303
0.001483917236328125,0.5018341541290283,0.9998393654823303
0.0015010833740234375,0.501854419708252,0.9998393654823303
0.001506805419921875,0.5018746256828308,0.9998393654823303
0.0015192031860351562,0.5018948316574097,0.9998393654823303
0.0015306472778320312,0.5019150972366333,0.9998393654823303
0.0015430450439453125,0.5019353032112122,0.9998393654823303
0.0015544891357421875,0.5019555687904358,0.9998393654823303
0.0016422271728515625,0.5019758343696594,0.9998393654823303
0.0016489028930664062,0.5019960403442383,0.9998393654823303
0.0016546249389648438,0.5020163059234619,0.9998393654823303
0.0016613006591796875,0.5020365118980408,0.9998393654823303
0.0016937255859375,0.5020567774772644,0.9998393654823303
0.0017271041870117188,0.502077043056488,0.9998393654823303
0.0017480850219726562,0.5021175146102905,0.9998393654823303
0.0017614364624023438,0.5021580457687378,0.9998393654823303
0.001789093017578125,0.5021985769271851,0.9998393654823303
0.0018033981323242188,0.5022390484809875,0.9998393654823303
0.0018243789672851562,0.5022593140602112,0.9998393654823303
